epoch,train_loss,val_loss,val_auc,lr
0,0.6521353721618652,0.5946177244186401,0.6110876005078291,0.000996057350657239
1,0.6205135186513265,0.5359959602355957,0.5911553110452814,0.0009842915805643156
2,0.614187220732371,0.5673751831054688,0.6050782903089293,0.0009648882429441257
3,0.610598643620809,0.539104163646698,0.5972915785019044,0.0009381533400219318
4,0.604693611462911,0.5392652750015259,0.6086330935251799,0.0009045084971874737
5,0.5971131920814514,0.558708906173706,0.6134997884045704,0.0008644843137107057
6,0.5917770465215048,0.5512983202934265,0.5779940753279729,0.0008187119948743449
7,0.5858457684516907,0.5674493312835693,0.6064325010579771,0.0007679133974894983
8,0.5807836850484213,0.5699462294578552,0.5771900126957257,0.0007128896457825364
9,0.5694993535677592,0.5795050859451294,0.5689801100296233,0.0006545084971874737
10,0.55164635181427,0.6082866191864014,0.5922556072788827,0.0005936906572928624
11,0.5549636483192444,0.5972442626953125,0.5769360981802794,0.0005313952597646568
12,0.5277871489524841,0.6273684501647949,0.5958527295810412,0.0004686047402353433
13,0.5380409359931946,0.6310689449310303,0.5705035971223023,0.0004063093427071377
14,0.5235497852166494,0.6423584818840027,0.5625476089716462,0.00034549150281252644
15,0.5309279163678488,0.6236857175827026,0.5639018197206941,0.00028711035421746366
16,0.5006583829720815,0.6343593001365662,0.5752856538298773,0.00023208660251050156
17,0.5025835037231445,0.6497487425804138,0.5859500634786289,0.00018128800512565513
18,0.49953482548395794,0.6448947191238403,0.5747778247989844,0.00013551568628929433
19,0.48636263608932495,0.6452427506446838,0.5643250105797715,9.549150281252633e-05
20,0.5052862962086996,0.6550673842430115,0.5619974608548456,6.184665997806821e-05
21,0.4868375261624654,0.6654958128929138,0.564748201438849,3.5111757055874326e-05
22,0.4804468055566152,0.6697806715965271,0.5671603893355903,1.5708419435684518e-05
23,0.49422160784403485,0.670973539352417,0.5681760473973763,3.942649342761117e-06
24,0.4778563777605693,0.6710089445114136,0.5686838764282691,0.001
25,0.4845568537712097,0.6849836707115173,0.57617435463394,0.0009990133642141358
26,0.4810627301534017,0.7256329655647278,0.5633516716038933,0.000996057350657239
27,0.4725149671236674,0.6674665808677673,0.5855268726195514,0.0009911436253643444
28,0.48023218909899396,0.6803634166717529,0.5666525603046975,0.0009842915805643156
29,0.47785147031148273,0.6657764315605164,0.5700804062632248,0.0009755282581475768
30,0.45411815245946247,0.7799203395843506,0.5828607702073635,0.0009648882429441257
31,0.46710749467213947,0.8478993773460388,0.5727041895895049,0.0009524135262330098
32,0.4630453288555145,0.7276337146759033,0.5697418535759627,0.0009381533400219318
33,0.41548511385917664,0.8320642113685608,0.5608548455353365,0.0009221639627510075
34,0.42986491322517395,0.7876809239387512,0.5445619974608549,0.0009045084971874737
35,0.41678329308827716,0.7967604398727417,0.5736352094794752,0.0008852566213878947
